taxonomy,drupal_internal__tid,drupal_internal__revision_id,langcode,revision_created,revision_log_message,status,name,weight,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_created,corporate_body_alt_name,date,date_of_meeting_or_treaty,location_of_meeting,num_of_section_or_meet,primary_name,subordinate_name,type,unique_id,lcnaf,viaf,authority,description,other,ulan,family_name,title_and_other_words,lcgft,aat,broader,geo_alt_name,fast,geonames,language_code,Library of Congress MARC List for Languages,person_alternate_name,preferred_name_fuller_form,preferred_name_number,preferred_name_prefix,preferred_name_rest,preferred_name_suffix,primary_part_of_name,rightsstatements,external_uri,dcmi_types
taxonomy_term--corporate_body,201,201,en,2021-10-08T20:33:47+00:00,,True,Association of Universities for Research in Astronomy,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Association of Universities for Research in Astronomy,,,5f504734-0341-478c-8514-cbb6f4175637,http://id.loc.gov/authorities/names/n82115526,http://viaf.org/viaf/135467076,http://viaf.org/viaf/135467076;viaf||http://id.loc.gov/authorities/names/n82115526;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,202,202,en,2021-10-08T20:33:47+00:00,,True,Atkinson Studio,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Atkinson Studio,,,e08c82c1-93d7-49dd-878f-abdf9b271fdd,,,,"Location information: Austin, TX",,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,203,203,en,2021-10-08T20:33:47+00:00,,True,Atomic Bomb Casualty Commission,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Atomic Bomb Casualty Commission,,,e6234252-ed3e-4289-af1e-b7e70b4874e5,http://id.loc.gov/authorities/names/n50073710,http://viaf.org/viaf/132297183,http://viaf.org/viaf/132297183;viaf||http://id.loc.gov/authorities/names/n50073710;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,204,204,en,2021-10-08T20:33:47+00:00,,True,Augusta Photographers,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Augusta Photographers,,,442dbe41-c39c-4db1-9f32-17cb53c9447a,,,,"Location information: Augusta, GA",,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,205,205,en,2021-10-08T20:33:47+00:00,,True,Bachrach,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Bachrach,,,168ee71e-abf9-44d8-967b-e303770493dc,http://id.loc.gov/authorities/names/n97859552,http://viaf.org/viaf/23898990,http://viaf.org/viaf/23898990;viaf||http://id.loc.gov/authorities/names/n97859552;lcnaf,"Location information: Baltimore, MD",,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,206,206,en,2021-10-08T20:33:47+00:00,,True,Bachrach & Bro.,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Bachrach & Bro.,,,a913ac4e-9333-4d78-99c5-9a3e5a1735f3,,,,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,207,207,en,2021-10-08T20:33:47+00:00,,True,Baltimore (Md.). City Council,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Baltimore (Md.),City Council,,dc7ffbfe-a449-42e3-8f76-4ecb1c2a4f27,http://id.loc.gov/authorities/names/n88613580,http://viaf.org/viaf/1179145424596586830096,http://viaf.org/viaf/1179145424596586830096;viaf||http://id.loc.gov/authorities/names/n88613580;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,208,208,en,2021-10-08T20:33:47+00:00,,True,Baltimore and Ohio Railroad Company,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Baltimore and Ohio Railroad Company,,,eb9f3c90-f570-4e3b-8dba-67905dab0cf6,http://id.loc.gov/authorities/names/n79085090,http://viaf.org/viaf/128436378,http://viaf.org/viaf/128436378;viaf||http://id.loc.gov/authorities/names/n79085090;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,209,209,en,2021-10-08T20:33:47+00:00,,True,Baltimore City College,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Baltimore City College,,,4770dbea-4cd8-4f26-a01d-f932ba640d5b,http://id.loc.gov/authorities/names/n88238895,http://viaf.org/viaf/138487667,http://viaf.org/viaf/138487667;viaf||http://id.loc.gov/authorities/names/n88238895;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
taxonomy_term--corporate_body,210,210,en,2021-10-08T20:33:47+00:00,,True,Baltimore City Public Schools,0,2021-10-08T20:33:47+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:33:47+00:00,,,,,,Baltimore City Public Schools,,,f8b3c406-5d5c-490b-8de2-a038519dcdf4,http://id.loc.gov/authorities/names/n50027055,http://viaf.org/viaf/144213413,http://viaf.org/viaf/144213413;viaf||http://id.loc.gov/authorities/names/n50027055;lcnaf,,,,,,,,,,,,,,,,,,,,,,,
