taxonomy,drupal_internal__tid,drupal_internal__revision_id,langcode,revision_created,status,name,weight,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_created,unique_id,authority,fast
taxonomy_term--subject,3465,3465,en,2021-10-08T20:37:14+00:00,True,Universities and colleges--Law and legislation,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,aab917fa-cc04-46fe-92e5-28a45c1cd43a,http://id.worldcat.org/fast/1161816;fast,http://id.worldcat.org/fast/1161816
taxonomy_term--subject,3466,3466,en,2021-10-08T20:37:14+00:00,True,Universities and colleges--Management,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,4e4bde56-fe50-474a-8e9e-7f010b1cc46d,http://id.worldcat.org/fast/1161825;fast,http://id.worldcat.org/fast/1161825
taxonomy_term--subject,3467,3467,en,2021-10-08T20:37:14+00:00,True,Universities and colleges--Public relations,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,be46499e-47d6-4098-9d6d-0dd7d744650a,http://id.worldcat.org/fast/1161846;fast,http://id.worldcat.org/fast/1161846
taxonomy_term--subject,3468,3468,en,2021-10-08T20:37:14+00:00,True,Universities and colleges--Research,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,d4755f59-ac4f-4fc7-a1cc-5b990013cee9,http://id.worldcat.org/fast/1161855;fast,http://id.worldcat.org/fast/1161855
taxonomy_term--subject,3469,3469,en,2021-10-08T20:37:14+00:00,True,Universities and colleges--Research grants,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,00c7b10f-6558-4d50-927c-a69b9f83782f,http://id.worldcat.org/fast/1161859;fast,http://id.worldcat.org/fast/1161859
taxonomy_term--subject,3470,3470,en,2021-10-08T20:37:14+00:00,True,Universities and colleges--Social aspects,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,15a8ec53-a910-487e-8270-2d496ad8da74,http://id.worldcat.org/fast/1161872;fast,http://id.worldcat.org/fast/1161872
taxonomy_term--subject,3471,3471,en,2021-10-08T20:37:14+00:00,True,"Universities and colleges--Societies, etc.",0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,d5c6830a-9d6b-4aaf-884c-7f1bd84aaa3d,http://id.worldcat.org/fast/1161875;fast,http://id.worldcat.org/fast/1161875
taxonomy_term--subject,3472,3472,en,2021-10-08T20:37:14+00:00,True,University cooperation,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,b2318d8f-99d7-4a40-8ef0-9f2d3f9ab6dc,http://id.worldcat.org/fast/1161917;fast,http://id.worldcat.org/fast/1161917
taxonomy_term--subject,3473,3473,en,2021-10-08T20:37:14+00:00,True,University investments,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,9b89eaf9-92ae-4831-bb03-9180155459a5,http://id.worldcat.org/fast/1161945;fast,http://id.worldcat.org/fast/1161945
taxonomy_term--subject,3474,3474,en,2021-10-08T20:37:14+00:00,True,University presses,0,2021-10-08T20:37:14+00:00,True,True,"{'alias': None, 'pid': None, 'langcode': 'en'}",und,False,2021-10-08T20:37:14+00:00,a23523c5-e763-4cb7-97b4-198520bd24d3,http://id.worldcat.org/fast/1161953;fast,http://id.worldcat.org/fast/1161953
